Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO2eq/kWh (direct),Carbon Intensity gCO2eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,CO2
01/01/2022 00:00,France,France,FR,25.09,43.84,94.23,25.36,opendata.reseaux-energies.fr,FALSE,0.04384
01/01/2022 01:00,France,France,FR,26.73,46.22,93.86,24.33,opendata.reseaux-energies.fr,FALSE,0.04622
01/01/2022 02:00,France,France,FR,26.4,46.36,93.73,23.27,opendata.reseaux-energies.fr,FALSE,0.04636
01/01/2022 03:00,France,France,FR,25.11,45.06,93.82,23.29,opendata.reseaux-energies.fr,FALSE,0.04506
01/01/2022 04:00,France,France,FR,24.88,44.69,93.87,23.54,opendata.reseaux-energies.fr,FALSE,0.04469
01/01/2022 05:00,France,France,FR,24.65,44.27,93.96,23.65,opendata.reseaux-energies.fr,FALSE,0.04427
01/01/2022 06:00,France,France,FR,24.25,43.64,94.04,24.02,opendata.reseaux-energies.fr,FALSE,0.04364
01/01/2022 07:00,France,France,FR,23.06,41.85,94.32,24.03,opendata.reseaux-energies.fr,FALSE,0.04185
01/01/2022 08:00,France,France,FR,21.99,40.55,94.55,25.16,opendata.reseaux-energies.fr,FALSE,0.04055
01/01/2022 09:00,France,France,FR,20.19,38.68,94.92,27.09,opendata.reseaux-energies.fr,FALSE,0.03868
01/01/2022 10:00,France,France,FR,19.1,37.6,95.17,28.52,opendata.reseaux-energies.fr,FALSE,0.0376
01/01/2022 11:00,France,France,FR,19.14,37.79,95.18,28.83,opendata.reseaux-energies.fr,FALSE,0.03779
01/01/2022 12:00,France,France,FR,19.37,38.12,95.12,28.33,opendata.reseaux-energies.fr,FALSE,0.03812
01/01/2022 13:00,France,France,FR,18.45,36.61,95.35,26.67,opendata.reseaux-energies.fr,FALSE,0.03661
01/01/2022 14:00,France,France,FR,19.16,37.06,95.24,24.8,opendata.reseaux-energies.fr,FALSE,0.03706
01/01/2022 15:00,France,France,FR,20.12,37.49,95.12,23.72,opendata.reseaux-energies.fr,FALSE,0.03749
01/01/2022 16:00,France,France,FR,20.52,37.07,95.25,24.72,opendata.reseaux-energies.fr,FALSE,0.03707
01/01/2022 17:00,France,France,FR,20.67,36.96,95.4,27.37,opendata.reseaux-energies.fr,FALSE,0.03696
01/01/2022 18:00,France,France,FR,21.17,37.62,95.31,28.23,opendata.reseaux-energies.fr,FALSE,0.03762
