name,datetime,tempmax_Paris,tempmin_Paris,temp_Paris,tempmax_Marseille,tempmin_Marseille,temp_Marseille,Average_FR
paris,01/01/2022,13.9,7.8,10.5,10.5,7.8,9.2,9.85
paris,02/01/2022,14,9.5,11.9,11.6,9,10.3,11.1
paris,03/01/2022,12.7,10.8,11.5,14.2,6.4,8.9,10.2
paris,04/01/2022,11.5,4.6,8.8,15.1,8.5,12.1,10.45
paris,05/01/2022,6.5,2,4.1,12.6,5.9,8.5,6.3
paris,06/01/2022,6.7,0.9,3.5,9,1.9,6.1,4.8
paris,07/01/2022,8.2,2.9,5.5,9.9,-1.8,4,4.75
paris,08/01/2022,8.5,2.8,6.2,12.5,3.2,7.3,6.75
paris,09/01/2022,6.9,4.4,5.2,11,7.5,9.4,7.3
paris,10/01/2022,4.5,2.6,3.5,10.1,4.9,7.7,5.6
paris,11/01/2022,2.9,0.1,1.7,9.6,-0.2,4.3,3
paris,12/01/2022,5.2,-0.4,2.3,10.5,-3.5,2.5,2.4
paris,13/01/2022,3.6,2,2.7,11.8,-3.6,2.3,2.5
paris,14/01/2022,7.1,1,3.4,12.8,-2.4,3.3,3.35
paris,15/01/2022,7.8,-0.6,2.6,12.1,-3.1,2.3,2.45
paris,16/01/2022,5.2,-1.1,1.7,12.1,-3,4,2.85
paris,17/01/2022,7.5,4,5.8,12,-0.9,5.2,5.5
paris,18/01/2022,9.4,2.2,5.1,12.1,-1.4,4,4.55
paris,19/01/2022,6.4,4.3,5.5,10.1,1.1,5.7,5.6
paris,20/01/2022,6.9,3.3,5,10.2,3.9,6.8,5.9
paris,21/01/2022,5.6,2.4,4,9.1,0.2,4.8,4.4
paris,22/01/2022,6.2,4.7,5.2,10.5,-1.5,3.4,4.3
paris,23/01/2022,4.7,3,4.1,12.1,-2.7,3.7,3.9
paris,24/01/2022,7,0.2,3.2,12.8,0,5,4.1
paris,25/01/2022,1.6,-1.3,0.2,12.2,1,5.4,2.8
paris,26/01/2022,3.5,-0.1,2,14.6,-1,4.7,3.35
paris,27/01/2022,7.1,2.5,4.7,11.7,-0.9,4,4.35
paris,28/01/2022,7.7,6.2,6.8,11.4,-0.8,4.8,5.8
paris,29/01/2022,10.4,6.1,8.5,12.8,-0.3,5.8,7.15
paris,30/01/2022,9.6,6.6,8.3,14.5,0.8,7.5,7.9
paris,31/01/2022,8.3,3.7,6.9,13.7,2.1,8.3,7.6
paris,01/02/2022,10.8,2.5,6.9,11.2,5.8,8.4,7.65
paris,02/02/2022,11.1,9,10.1,16.1,10.1,12.5,11.3
paris,03/02/2022,8.7,7,7.7,16.6,3.1,10,8.85
paris,04/02/2022,11.1,4.9,7.4,14.2,6.9,10,8.7
paris,05/02/2022,10,1.6,6.1,13.8,6.4,10.2,8.15
paris,06/02/2022,10.8,7.2,8.9,13.2,0.3,7,7.95
paris,07/02/2022,10,5.3,7.6,13.9,7.8,10.6,9.1
paris,08/02/2022,11.1,5.4,8.3,15.2,0.4,7.4,7.85
paris,09/02/2022,12.7,2.7,7.2,15.5,6,10.2,8.7
paris,10/02/2022,10,5.1,7.3,14.9,6.7,10.3,8.8
paris,11/02/2022,8.5,2.5,5,14.8,4.7,8.3,6.65
paris,12/02/2022,9,0.3,4.1,15.6,1.5,7.7,5.9
paris,13/02/2022,13.9,0.1,6.8,13.2,4.8,9.5,8.15
paris,14/02/2022,11.7,6.4,9.3,11.7,6.6,8.9,9.1
paris,15/02/2022,10.4,4.6,7.8,13.5,5.8,9.2,8.5
paris,16/02/2022,15.4,9,12.3,14,3.3,9.3,10.8
paris,17/02/2022,13.8,10.9,12.3,21.2,8.1,14.1,13.2
paris,18/02/2022,12.2,6.9,10.5,19.6,6.3,12.6,11.55
paris,19/02/2022,10.3,3.2,7.1,14.6,8.7,11.5,9.3
paris,20/02/2022,13.1,8.3,10.8,16.7,8.6,11.8,11.3
paris,21/02/2022,11,5.9,8.6,16.1,9.7,12.5,10.55
paris,22/02/2022,12.2,6.1,9.1,15.6,8.8,12,10.55
paris,23/02/2022,11.4,5.1,9.1,18.1,6.5,11.9,10.5
paris,24/02/2022,11.9,4.5,8.2,14.7,7.4,11.5,9.85
paris,25/02/2022,10.4,3,6.3,13.1,6.6,10,8.15
paris,26/02/2022,10,1.8,5.6,14.8,1.6,8.4,7
paris,27/02/2022,9.7,0.9,5.1,14.7,0.8,8.1,6.6
paris,28/02/2022,11.7,0.4,5.8,14.6,2.5,8.9,7.35
paris,01/03/2022,12.9,3.5,7.8,14.8,4.5,9.6,8.7
paris,02/03/2022,12.5,6.2,8.8,13.7,4.7,9.2,9
paris,03/03/2022,12.3,7.1,9.7,15.6,3.5,9,9.35
paris,04/03/2022,12.5,7.6,9.7,18.5,2.7,10.6,10.15
paris,05/03/2022,12,6.6,8.9,14.1,3.2,8.9,8.9
paris,06/03/2022,8.8,1.8,5.3,12.7,2.2,7.2,6.25
paris,07/03/2022,6.9,-0.1,3.4,13.1,-0.6,6.3,4.85
paris,08/03/2022,12.8,-0.2,5.9,14.5,1.9,8.3,7.1
paris,09/03/2022,15.4,3.4,9.2,15.5,6.4,10.5,9.85
paris,10/03/2022,17,5.2,10.8,15.8,4.7,10.6,10.7
paris,11/03/2022,12.9,7.1,9.8,15,11.2,12.8,11.3
paris,12/03/2022,10.3,6,8.4,15.3,12.1,13.3,10.85
paris,13/03/2022,11.5,7.1,8.9,13.7,5.7,11.6,10.25
paris,14/03/2022,14.7,4.2,9.5,17.7,9.4,13.2,11.35
paris,15/03/2022,11.3,9.2,10.1,18.4,12.1,15,12.55
paris,16/03/2022,14.3,8.8,11.2,16.7,8.8,12.5,11.85
paris,17/03/2022,11.3,7,8.8,17.4,9.1,13.8,11.3
paris,18/03/2022,15.4,4.4,9.6,16.8,10.6,13.2,11.4
paris,19/03/2022,16.1,5.9,10.9,18.3,8.8,12.5,11.7
paris,20/03/2022,13.2,3.4,8.4,16.4,7.4,12.8,10.6
paris,21/03/2022,18,6.6,12.1,17.4,8.6,13.5,12.8
paris,22/03/2022,18.3,7.8,12.8,16.7,5.2,10.9,11.85
paris,23/03/2022,18.3,4.8,12.3,17.5,2.2,10.4,11.35
paris,24/03/2022,20.5,7.5,14,18.9,1.7,10.4,12.2
paris,25/03/2022,19.6,7.8,13.8,18.5,2.7,10.6,12.2
paris,26/03/2022,19.4,7.8,13.7,22.3,4.6,13.3,13.5
paris,27/03/2022,21.2,8.9,14.6,22.5,10.5,16.2,15.4
paris,28/03/2022,21.5,8.7,15,22.1,6.8,14.4,14.7
paris,29/03/2022,17.9,11.8,14,19.5,8.4,14.1,14.05
paris,30/03/2022,12.9,8.8,10.6,14,6.9,11.5,11.05
paris,31/03/2022,8.7,3.5,6.2,19,9.2,13.4,9.8
paris,01/04/2022,3.6,1.2,2.3,10.6,5.8,8.4,5.35
paris,02/04/2022,7.7,1.2,4.3,8.8,5,6.7,5.5
paris,03/04/2022,8.8,1.3,5.3,11.5,2.9,7,6.15
paris,04/04/2022,10.1,1.1,6.2,15.1,1.9,8.5,7.35
paris,05/04/2022,13,7.9,10.1,18.2,0.9,9.4,9.75
paris,06/04/2022,12.9,8.2,10.6,16,3.9,10.6,10.6
paris,07/04/2022,14.7,9.9,12.2,17.8,8.9,13.6,12.9
paris,08/04/2022,9.4,1.9,6.3,20.8,12.8,16.3,11.3
paris,09/04/2022,11,3.2,6.2,16,11,13.7,9.95
paris,10/04/2022,14.3,1.4,8.3,18,6.5,11.4,9.85
paris,11/04/2022,19.4,5.6,12.3,18.5,8.3,13,12.65
paris,12/04/2022,21.3,11,16,22.1,10.2,15.9,15.95
paris,13/04/2022,16.4,12.6,14.1,19.9,7.1,14.1,14.1
paris,14/04/2022,20.9,10.8,15.7,24.9,7.7,15.8,15.75
paris,15/04/2022,21,10.9,16.1,26.4,10.7,17.8,16.95
paris,16/04/2022,19.7,10,15,27.7,12,19.6,17.3
paris,17/04/2022,22,8,14.8,21,11,16.6,15.7
paris,18/04/2022,19.6,8.3,14.6,20.8,7.7,14.7,14.65
paris,19/04/2022,17.8,8.3,13,23.6,8.6,16.1,14.55
paris,20/04/2022,19.8,8.4,13.9,18.6,12.4,14.7,14.3
paris,21/04/2022,19.9,9.5,14.8,18.9,12.9,15.1,14.95
paris,22/04/2022,19.4,9.9,15,19.9,11.1,15.3,15.15
paris,23/04/2022,19.6,10.2,14.5,18.3,11.7,15.1,14.8
paris,24/04/2022,18.8,10.1,14.8,17.8,10.8,13.6,14.2
paris,25/04/2022,16.5,9.4,12.8,20.1,9.7,15.2,14
paris,26/04/2022,15.3,7.6,11.3,22.8,10.6,16.2,13.75
paris,27/04/2022,19.1,6.1,12.8,22.3,9.9,16.3,14.55
paris,28/04/2022,21.3,8.1,15.3,24.9,10.7,17.7,16.5
paris,29/04/2022,19.8,11.3,15.2,22.7,10.8,17.4,16.3
paris,30/04/2022,17.3,7.4,12.1,25.2,10.6,18.3,15.2
paris,01/05/2022,17.8,6.5,12.3,24.4,11.1,18.5,15.4
paris,02/05/2022,18.2,8.7,13.8,23.2,9.6,17,15.4
paris,03/05/2022,19.7,9.9,14.6,22.8,13.4,17.9,16.25
paris,04/05/2022,19.1,9.8,13.9,24.6,10.8,17.6,15.75
paris,05/05/2022,18,10.6,14.4,22.3,13.8,17.3,15.85
paris,06/05/2022,21.7,10,16,21.3,13.9,17.4,16.7
paris,07/05/2022,21.8,11.3,16.3,24.2,11.8,18.3,17.3
paris,08/05/2022,22.2,11.7,16.2,22.2,11.6,15.8,16
paris,09/05/2022,26.1,11.2,18.9,25,11.8,18.2,18.55
paris,10/05/2022,27.3,15.1,21.4,26,12.7,19.5,20.45
paris,11/05/2022,25.1,13.6,19.8,25.4,12.8,19.3,19.55
paris,12/05/2022,20,12.6,16.8,24.7,13.6,19.7,18.25
paris,13/05/2022,21.6,10.9,16.3,25.7,12.7,19.2,17.75
paris,14/05/2022,24,11.1,17.7,24.9,14.7,19.7,18.7
paris,15/05/2022,29.1,14.5,21.4,26.6,15.6,20.9,21.15
paris,16/05/2022,25.4,16.3,20,26.9,15.8,21.6,20.8
paris,17/05/2022,28.6,16.2,23,26.7,13.9,20.9,21.95
paris,18/05/2022,29.1,17,23.5,26.3,15.6,21.2,22.35
paris,19/05/2022,25.5,20.3,22.7,29.9,15.8,22.9,22.8
paris,20/05/2022,23,14.3,18,27.8,15.6,23.1,20.55
paris,21/05/2022,24.8,11.8,17.9,27.8,16.6,22.4,20.15
paris,22/05/2022,22.4,15,19,28.3,15.9,22.5,20.75
paris,23/05/2022,18.4,14,16.7,28.5,18.9,23.4,20.05
paris,24/05/2022,18.9,11,14.4,26.7,19.8,22.6,18.5
paris,25/05/2022,19.6,9.8,15.2,27.5,18,21.9,18.55
paris,26/05/2022,20.2,13.8,16.6,28.9,18.9,23.8,20.2
paris,27/05/2022,21.5,13.5,16.6,32.5,20,25.5,21.05
paris,28/05/2022,19.8,10.5,15.6,27.8,19,23.5,19.55
paris,29/05/2022,16.2,8.6,12.9,26,17,21.7,17.3
paris,30/05/2022,19.3,8.3,13.9,26.1,13.6,20.4,17.15
paris,31/05/2022,20.7,12.2,16.5,26.1,17.5,21.9,19.2
paris,01/06/2022,21.8,10.3,16.5,29.5,15.4,22.1,19.3
paris,02/06/2022,24.8,11.3,18.6,28.6,18,23.2,20.9
paris,03/06/2022,22.8,14.9,18.8,33.2,19.8,25.3,22.05
paris,04/06/2022,28.8,16.3,19.8,33.9,21.4,27.7,23.75
paris,05/06/2022,21.6,16.4,18.6,30.3,20.7,25.4,22
paris,06/06/2022,21.8,13.2,17.7,31,21.3,25.6,21.65
paris,07/06/2022,22.9,15.7,18.6,30.6,20.4,25.6,22.1
paris,08/06/2022,20.9,14.4,17.3,26.9,20.1,23.4,20.35
paris,09/06/2022,21.4,12.5,16.9,26.1,18.7,22.7,19.8
paris,10/06/2022,22.7,14.4,19.3,29.8,18.6,24.3,21.8
paris,11/06/2022,25.9,15.4,20.6,33.6,16.6,25.9,23.25
paris,12/06/2022,24.5,14,19.1,31.6,17.1,24.6,21.85
paris,13/06/2022,23.3,12.2,18,35,19.5,27.4,22.7
paris,14/06/2022,26.5,13.7,20.6,30.9,20.9,26.3,23.45
paris,15/06/2022,30.6,16.3,23.7,31.8,21.4,26.7,25.2
paris,16/06/2022,29.8,17.7,24,33,18.5,27,25.5
paris,17/06/2022,34,19,26.7,34.6,21.8,28.2,27.45
paris,18/06/2022,36.2,21.2,29.2,35.3,21.4,28.3,28.75
paris,19/06/2022,28,15.2,20.6,31.9,22.8,27.9,24.25
paris,20/06/2022,22.5,14.6,18,32.5,22.4,27.3,22.65
paris,21/06/2022,26.5,14.9,20.8,32.3,22.6,26.8,23.8
paris,22/06/2022,25.3,16.7,20.7,29.9,23,26.3,23.5
paris,23/06/2022,28.1,18.4,23,28.4,22.6,24.9,23.95
paris,24/06/2022,24.2,17.5,21.1,29.3,21.6,24.9,23
paris,25/06/2022,19.2,15.1,17.4,30.4,19.3,25.2,21.3
paris,26/06/2022,22,13,17.4,33.4,22.1,27.8,22.6
paris,27/06/2022,23.9,15,19.1,32.4,21.6,27.3,23.2
paris,28/06/2022,27.4,13.7,21,31.5,20.2,25.7,23.35
paris,29/06/2022,26.5,15.1,21.1,30.1,20.4,25.4,23.25
paris,30/06/2022,17.9,13.6,15.5,27.9,19.8,24.2,19.85
paris,01/07/2022,21.7,11.4,16.7,28.8,18.7,23.9,20.3
paris,02/07/2022,26.9,12.1,20.2,32.8,16,24.8,22.5
paris,03/07/2022,24.2,14.6,19.5,33.9,18.5,26.4,22.95
paris,04/07/2022,26.4,13.1,19.9,34.9,22.8,28.2,24.05
paris,05/07/2022,25.7,13.2,19.6,34.5,23.5,28.9,24.25
paris,06/07/2022,26,13.9,20.3,33.1,23,28,24.15
paris,07/07/2022,21.5,16,19,32.6,21.1,26.8,22.9
paris,08/07/2022,27.4,12.6,20,32,21.6,27,23.5
paris,09/07/2022,29.2,16.9,22.9,33.6,20.4,27.3,25.1
paris,10/07/2022,27.1,14.4,21.1,32.1,21.3,26.9,24
paris,11/07/2022,30,17.6,24.1,29.8,20,25.2,24.65
paris,12/07/2022,33.2,18.8,26.4,30.2,19.9,25.1,25.75
paris,13/07/2022,36.4,20.9,28.4,30.7,19.9,26.1,27.25
paris,14/07/2022,30.4,21.2,25.7,32.7,20.5,26.5,26.1
paris,15/07/2022,27.1,16.2,21.9,37.8,21.5,29.3,25.6
paris,16/07/2022,29,15.6,22.8,34.2,22.3,28.4,25.6
paris,17/07/2022,32,17.7,24.9,32.2,20.3,27.3,26.1
paris,18/07/2022,37.8,20.2,29,35,23.8,29.3,29.15
paris,19/07/2022,40,23.4,31.2,34.8,23.3,29.2,30.2
paris,20/07/2022,26.3,19,21.3,34.6,22.9,28.8,25.05
paris,21/07/2022,27.1,17.8,21.7,35.9,24.8,29.3,25.5
paris,22/07/2022,24.9,17.1,21.2,33.7,22.4,28.2,24.7
paris,23/07/2022,26.9,18.8,21.7,32.9,23.6,28,24.85
paris,24/07/2022,32.9,18.1,25.7,35.2,22.7,28.3,27
paris,25/07/2022,27.2,20,23.5,33.3,22.4,28.2,25.85
paris,26/07/2022,22.4,17,19.7,33.5,25.2,29.1,24.4
paris,27/07/2022,25.5,14.6,20.3,32.7,22.5,27.3,23.8
paris,28/07/2022,26.1,16.3,21.4,33,19,26.1,23.75
paris,29/07/2022,28.9,16.6,23.3,30.3,21.5,25.8,24.55
paris,30/07/2022,29.5,18.1,24.6,34.3,23.4,28.8,26.7
paris,31/07/2022,28.2,18.6,23,36,20.2,28.7,25.85
paris,01/08/2022,26.8,20.1,22.8,36,21.6,29,25.9
paris,02/08/2022,31.2,18.3,24.6,35.2,21.9,28.4,26.5
paris,03/08/2022,35.4,20,28,33.2,22.4,27.5,27.75
paris,04/08/2022,28.3,20.7,24.1,33.7,21.6,26.7,25.4
paris,05/08/2022,25.6,16.2,20.7,32.3,21.5,26.9,23.8
paris,06/08/2022,25.2,13.5,19.8,35.8,24.1,29.5,24.65
paris,07/08/2022,27.3,14.6,21.2,33.9,22.3,28.4,24.8
paris,08/08/2022,29,15.5,22.6,33.9,20,27.1,24.85
paris,09/08/2022,31.1,16.9,24.1,33.7,20.7,27.3,25.7
paris,10/08/2022,32.7,18.7,26.2,33.1,20,27.3,26.75
paris,11/08/2022,32.6,20.1,26.7,32.7,20.7,27.2,26.95
paris,12/08/2022,33.8,20.2,27.2,33.7,21.8,27.6,27.4
paris,13/08/2022,32.8,20.2,26.9,31.7,24.1,27.7,27.3
paris,14/08/2022,27.9,17.9,22.8,30.8,22,25.9,24.35
paris,15/08/2022,26.5,16.5,20.5,31.7,19.1,25.8,23.15
paris,16/08/2022,27.7,17.9,21.1,31.4,21.5,26.6,23.85
paris,17/08/2022,26.9,17.6,20.1,28.8,20,24.7,22.4
paris,18/08/2022,27.7,16.7,22.1,26.5,18.6,22.1,22.1
paris,19/08/2022,23.9,18.1,20.6,29,21,24.7,22.65
paris,20/08/2022,24.9,13.9,19.6,30.8,22.6,26.7,23.15
paris,21/08/2022,26.3,14.8,20.8,31.2,21.8,26.3,23.55
paris,22/08/2022,25.3,16.7,21.3,31.6,21.7,26.4,23.85
paris,23/08/2022,27.2,18.6,22.9,33,19.7,26.7,24.8
paris,24/08/2022,32.1,19.1,25.7,31.4,18.8,25.3,25.5
paris,25/08/2022,30.7,19.6,25,32.7,18.9,25.3,25.15
paris,26/08/2022,26.2,18.5,21.7,32.8,22.8,27.3,24.5
paris,27/08/2022,25.1,16.4,20.7,31,21.9,26.3,23.5
paris,28/08/2022,26.1,15.4,20.6,31.7,19,25.7,23.15
paris,29/08/2022,28.7,16.9,22.5,30.9,19.9,25.3,23.9
paris,30/08/2022,27.4,15.6,21.4,29.2,23.8,26.2,23.8
paris,31/08/2022,27.1,16.8,21.8,29.6,20.7,25.1,23.45
paris,01/09/2022,27.9,17.2,22.3,31.9,21.5,26.2,24.25
paris,02/09/2022,24.1,18.1,20.8,29.9,20.8,24.3,22.55
paris,03/09/2022,23.7,17.6,20.2,28.4,20.6,24.4,22.3
paris,04/09/2022,29.2,15.3,22.1,29.9,21.3,25.2,23.65
paris,05/09/2022,30.1,17.1,22.8,30.9,20.6,25.9,24.35
paris,06/09/2022,28.8,16.1,21.4,30.6,21.6,25.9,23.65
paris,07/09/2022,21.6,16.1,18.4,29.5,23.2,26,22.2
paris,08/09/2022,22.7,15,17.8,27.7,18.6,23.1,20.45
paris,09/09/2022,19.4,15.2,16.9,27.7,16.8,22.5,19.7
paris,10/09/2022,19.6,14.9,16.4,26.6,17.7,22.1,19.25
paris,11/09/2022,22.9,12.5,17.2,27.9,17.5,22.3,19.75
paris,12/09/2022,27.3,13.8,20.1,28.8,16.7,22.9,21.5
paris,13/09/2022,26,19.5,22.2,28.4,21.7,24.6,23.4
paris,14/09/2022,25.9,19.3,22.2,28,21.8,25,23.6
paris,15/09/2022,21.9,14.8,18.8,29.7,21.2,25.1,21.95
paris,16/09/2022,17.8,12.4,15.1,26.9,20,23.3,19.2
paris,17/09/2022,16.7,9.6,13,21.1,16,18.3,15.65
paris,18/09/2022,19.1,8.4,13.5,23.9,12.3,18,15.75
paris,19/09/2022,18.2,10,14,23.7,11.3,18.3,16.15
paris,20/09/2022,17.2,8.9,13.1,24.7,11.1,18.4,15.75
paris,21/09/2022,18.9,9.7,14.2,24.9,11.8,18.9,16.55
paris,22/09/2022,20.4,9.1,14.7,24.1,14.7,19.3,17
paris,23/09/2022,20.7,10.7,15.2,24.6,14.9,19.6,17.4
paris,24/09/2022,17.2,13.1,14.9,21.8,16.4,19.2,17.05
paris,25/09/2022,19.6,11.7,14.8,22.9,15.6,18.6,16.7
paris,26/09/2022,14.7,11.7,12.6,22.7,14.1,18.1,15.35
paris,27/09/2022,13.8,10.5,12.2,20.9,14.8,17.7,14.95
paris,28/09/2022,15.1,11.2,12.4,23,15.7,19,15.7
paris,29/09/2022,14,9.9,11.4,21.1,15.1,18.1,14.75
paris,30/09/2022,18.2,7.4,12.2,18.9,13.2,15.6,13.9
paris,01/10/2022,20.2,12.2,16,21.1,10.8,15.8,15.9
paris,02/10/2022,19.6,12.7,16.1,25.3,13.1,19.5,17.8
paris,03/10/2022,14.1,10.2,11.8,24.8,15.7,20,15.9
paris,04/10/2022,18.7,7.5,12.7,24,11.7,17.6,15.15
paris,05/10/2022,20.5,11.5,15.9,24.7,13.6,18.8,17.35
paris,06/10/2022,18.7,10.3,14.4,24.9,13.4,18.6,16.5
paris,07/10/2022,18.8,7.3,12.9,24.7,14.1,18.6,15.75
paris,08/10/2022,18.1,10.8,13.6,21.8,14.7,17.9,15.75
